"Name","Distance (LY)"
"HD 36917","0"
"2MASS J05345233-0530080","1.68286400222953"
"V1461 Orionis","2.02860404588969"
"KW Orionis","2.0658117351298"
"2MASS J05345284-0533483","2.11878687283549"
"2MASS J05344881-0533330","2.20727667330129"
"LO Orionis","2.34874467801419"
"2MASS J05350719-0529176","2.75354884648884"
"V1447 Orionis","2.755853146033"
"V980 Orionis","2.82376217350187"
"V1313 Orionis","2.85813668541237"
"2MASS J05344574-0530572","3.13467253074384"
"V1990 Orionis","3.23237407914059"
"2MASS J05352033-0531162","3.32618047653762"
"Gauss","3.51517358212934"
"V1445 Orionis","3.52086415173889"
"2MASS J05345236-0525006","3.52945197587387"
"Amo","3.53898489153316"
"V1319 Orionis","3.55605227921357"
"V1514 Orionis","3.78486397542897"
"2MASS J05345675-0526372","3.81339641100948"
"H97b 405","3.95729152956918"
"V375 Orionis","3.96197748920914"
"LR Orionis","3.96345611493303"
"2MASS J05341723-0529043","3.96382568518092"
"V2114 Orionis","3.98728447693415"
"V2099 Orionis","4.00231866391221"
"Collins","4.02506793420931"
"2MASS J05345610-0528002","4.05371646609627"
"V1513 Orionis","4.097684178289"
"2MASS J05351529-0539562","4.10280487136544"
"V1314 Orionis","4.1711434283659"
"JW 392","4.22626645220104"
"2MASS J05344907-0528089","4.52348472557386"
"2MASS J05350160-0524101","4.62394413623262"
"2MASS J05345483-0525125","4.68103721145218"
"Banks Reach","4.70050279890354"
"Eddington","4.73207968286672"
"KT Orionis","4.7824753331826"
"V2548 Orionis","4.89289583861132"
"2MASS J05351057-0533136","4.89499106230032"
"V1490 Orionis","4.9159935097089"
"V1231 Orionis","5.01618474290969"
"V1293 Orionis","5.06221063987859"
"2MASS J05343382-0527181","5.29491575121833"
"2MASS J05353092-0525236","5.29712849688395"
"H97b 20097","5.30412943493086"
"2MASS J05351767-0525106","5.32801044598263"
"2MASS J05351955-0531587","5.33423861132027"
"PMD2009 100","5.34859064380515"
"FHM2008 S3-ap126","5.36436083680992"
"V1097 Orionis","5.39286638185112"
"2MASS J05350739-0525481","5.41356080828506"
"2MASS J05351380-0530244","5.47249871516659"
"Celsius","5.52038127080005"
"2MASS J05351561-0524030","5.5242717280199"
"2MASS J05352168-0526525","5.54359498092168"
"2MASS J05351439-0523335","5.55977812619353"
"V2045 Orionis","5.58894696029583"
"V2260 Orionis","5.59593183705806"
"2MASS J05344797-0526353","5.61022364750283"
"2MASS J05342999-0525173","5.63731291263843"
"Parenago 1282","5.65530033464183"
"2MASS J05351214-0531388","5.74906582085298"
"2MASS J05344449-0524384","5.81468372957636"
"MLLA 151","5.81971997822919"
"V2231 Orionis","5.84608910405067"
"2MASS J05351404-0525499","5.86917929739755"
"V2143 Orionis","5.91352065714664"
"2MASS J05344877-0519073","5.92927061281571"
"V2066 Orionis","5.94818118209256"
"2MASS J05334545-0536323","6.07802458143269"
"V478 Orionis","6.08412701728851"
"PMD2009 13","6.08685507364025"
"The Veil","6.10023693187404"
"2MASS J05352192-0528273","6.11933730582814"
"V2447 Orionis","6.12484055914927"
"V1551 Orionis","6.2127797975222"
"2MASS J05351382-0527368","6.23623484163321"
"Parenago 1916","6.2513279839167"
"V399 Orionis","6.299336522603"
"2MASS J05352547-0521349","6.33735823312838"
"V411 Orionis","6.37392760588007"
