"Name","Distance (LY)","Controlling Faction","Needs Permit"
"2MASS J05363739-0510220","19.6483241174661","","false"
"2MASS J05353331-0539247","19.6578149218065","","false"
"Shepard","19.6608450511416","","false"
"2MASS J05355618-0552284","19.6690886132276","","false"
"V1452 Orionis","19.6772294639007","","false"
"2MASS J05351471-0613399","19.7302858491077","","false"
"Grissom","19.7545485268583","","false"
"2MASS J05351011-0548342","19.8045626845179","","false"
"2MASS J05350230-0531105","19.8386804547959","","false"
"V2223 Orionis","19.8479818322292","","false"
"KQ Orionis","19.8709950760524","","false"
"V1515 Orionis","19.9190255315113","","false"
"2MASS J05352100-0445380","19.9472203968999","","false"
"2MASS J05354904-0515377","19.950231045028","","false"
"V1425 Orionis","19.9912822797213","","false"
"2MASS J05345805-0529405","20.0512283367503","","false"
"V1619 Orionis","20.0712597698799","","false"
"Parenago 2198","20.149102414872","","false"
"2MASS J05351302-0443056","20.2326797069741","","false"
"2MASS J05351446-0525020","20.2674741349903","","false"
"V2551 Orionis","20.2762657588867","","false"
"V2067 Orionis","20.2991302153565","","false"
"2MASS J05355797-0608137","20.3096392216233","","false"
"JW 783","20.311322081231","","false"
"2MASS J05355544-0523430","20.3129086497355","","false"
"2MASS J05364769-0520507","20.3649802817238","","false"
"V1584 Orionis","20.4231361986229","","false"
"Running Man Sector GW-W c1-3","20.4516865899857","","false"
"V1279 Orionis","20.4531429048814","","false"
"MX Orionis","20.4586329959384","","false"
"2MASS J05351047-0526003","20.4594205838044","","false"
"2MASS J05351534-0519021","20.5327006717334","","false"
"2MASS J05345311-0526594","20.5365052254516","","false"
"V1524 Orionis","20.5402853026072","","false"
"V1510 Orionis","20.5642333995824","","false"
"V758 Orionis","20.652183790401","","false"
"2MASS J05342239-0522269","20.6943908463139","","false"
"V1969 Orionis","20.7274915571084","","false"
"V428 Orionis","20.7381602140233","","false"
"Running Man Sector CQ-Y d14","20.7602807739322","","false"
"V2571 Orionis","20.7752810976771","","false"
"V2074 Orionis","20.8186927723621","","false"
"2MASS J05345918-0523078","20.8603522711147","","false"
"2MASS J05351405-0525203","20.9004803323991","","false"
"V1688 Orionis","20.9170842629297","","false"
"V1694 Orionis","20.9199086547958","","false"
"V1324 Orionis","20.9284961983655","","false"
"2MASS J05350116-0529551","20.9643018754501","","false"
"2MASS J05335414-0503401","20.9736162386223","","false"
"V2285 Orionis","20.9810647519376","","false"
"2MASS J05350952-0608460","21.0374015891935","","false"
"V1585 Orionis","21.0454771714732","","false"
"V2033 Orionis","21.0808988630703","","false"
"V1169 Orionis","21.1431828182868","","false"
"2MASS J05371906-0614489","21.202727750516","","false"
"V2580 Orionis","21.2212351269312","","false"
"2MASS J05345612-0528558","21.2687646929129","","false"
"2MASS J05365735-0618452","21.2919851778198","","false"
"V353 Orionis","21.3246162406853","","false"
"V1682 Orionis","21.3375265450919","","false"
"2MASS J05352618-0525203","21.3410274617929","","false"
"V2096 Orionis","21.3464035685757","","false"
"2MASS J05353949-0440194","21.3723042890794","","false"
"V1287 Orionis","21.4075729518201","","false"
"2MASS J05360808-0441205","21.4274074274631","","false"
"2MASS J05353380-0532252","21.4291392223883","","false"
"V1449 Orionis","21.4413717349194","","false"
"V494 Orionis","21.4433301110159","","false"
"2MASS J05351548-0533070","21.5155739378479","","false"
"V1338 Orionis","21.5228122073418","","false"
"V1611 Orionis","21.5592615321699","","false"
"V2157 Orionis","21.6176152492013","","false"
"V360 Orionis","21.6200319437784","","false"
"V410 Orionis","21.6493269958907","","false"
"2MASS J05352035-0526173","21.6715764669417","","false"
"Parenago 2182","21.6844828592936","","false"
"2MASS J05363404-0534054","21.8046637069917","","false"
